Wall time,Step,Value
1774769280.07491,10000,2499.0
1774769345.3115547,20000,2499.0
1774769427.9553673,30000,2499.0
1774769542.6971064,40000,2499.0
1774769615.5548265,50000,2340.5
1774769686.1600397,60000,435.6000061035156
1774769751.7519047,70000,425.1739196777344
1774769823.853935,80000,389.73077392578125
1774769899.8884091,90000,460.4090881347656
1774769970.3767354,100000,640.5714111328125
1774770052.1422153,110000,731.933349609375
1774770129.412447,120000,801.1666870117188
1774770191.7255003,130000,925.0
1774770261.501988,140000,708.4666748046875
1774770330.214743,150000,753.0
1774770410.0904372,160000,746.6923217773438
1774770546.8124955,170000,670.5333251953125
1774770613.839401,180000,810.25
1774770684.9086218,190000,986.5
1774770753.5861812,200000,906.5
1774770846.110963,210000,761.923095703125
1774770918.186606,220000,939.5
1774770984.8836036,230000,937.727294921875
1774771050.2553167,240000,686.9285888671875
1774771136.4307158,250000,880.4545288085938
1774771201.5233378,260000,936.727294921875
1774771263.8355935,270000,751.1666870117188
1774771326.7711525,280000,1440.2857666015625
1774771395.7812471,290000,816.0
1774771465.72946,300000,926.727294921875
1774771522.1645067,310000,817.8333129882812
1774771577.9328277,320000,828.6363525390625
1774771633.3707757,330000,1009.0
1774771682.92868,340000,984.9091186523438
1774771764.7830482,350000,769.1538696289062
1774771849.7654126,360000,1079.4444580078125
1774771930.3358757,370000,1380.125
1774772006.499616,380000,1381.1666259765625
1774772090.3803868,390000,1152.5
1774772165.595878,400000,1464.5999755859375
1774772247.2332416,410000,1261.6666259765625
1774772325.6205301,420000,1092.888916015625
1774772406.9436028,430000,1027.5
1774772483.0197752,440000,1052.0
1774772580.5879154,450000,1013.3333129882812
1774772736.183897,460000,1157.888916015625
1774772897.304078,470000,1239.5
1774773016.5667648,480000,1060.5999755859375
1774773294.4019678,490000,1578.1666259765625
1774773365.2498493,500000,1600.857177734375
1774773441.7201207,510000,874.9000244140625
1774773504.4846323,520000,1348.875
1774773565.6015708,530000,1378.0
1774773637.0654924,540000,1656.1666259765625
1774773699.2309318,550000,1187.625
1774773760.4501462,560000,1478.4285888671875
1774773819.2943623,570000,2260.0
1774773874.946798,580000,1912.8333740234375
1774773941.3087754,590000,2523.25
1774774002.4318151,600000,2214.5
1774774066.6352048,610000,1886.5999755859375
1774774128.2470486,620000,1640.857177734375
1774774202.9264264,630000,1970.5999755859375
1774774262.674657,640000,2262.0
1774774320.9058332,650000,1394.2857666015625
1774774385.199835,660000,1827.0
1774774451.1181972,670000,2324.5
1774774516.9880488,680000,1478.857177734375
1774774588.4419336,690000,1476.7142333984375
1774774661.0249825,700000,2324.0
1774774743.957681,710000,2174.800048828125
1774774811.5799973,720000,1565.5999755859375
1774774880.8217316,730000,2203.60009765625
1774774958.2870705,740000,1946.0
1774775033.6685965,750000,1550.4285888671875
1774775102.59933,760000,2391.5
1774775191.3221724,770000,1672.3333740234375
1774775277.627429,780000,2209.39990234375
1774775348.003094,790000,1755.5999755859375
1774775425.9188414,800000,2291.199951171875
1774775522.0340486,810000,2328.25
1774775590.039803,820000,2434.75
1774775654.9139333,830000,1923.4000244140625
1774775724.266945,840000,1684.0
1774775814.632069,850000,1234.111083984375
1774775885.525169,860000,1417.8333740234375
1774775945.6597457,870000,1663.0
1774776016.391377,880000,1603.1666259765625
1774776081.7517092,890000,1860.4000244140625
1774776139.664106,900000,2213.60009765625
1774776198.9889078,910000,1784.4000244140625
1774776252.0306456,920000,1755.3333740234375
