Wall time,Step,Value
1774805312.8137536,10000,10.678380966186523
1774805343.806342,20000,90.9249496459961
1774805370.81231,30000,-3.5595998764038086
1774805401.0084047,40000,-8.926945686340332
1774805454.3203256,50000,9.994935989379883
1774805481.390926,60000,1.2118171453475952
1774805510.057174,70000,-3.5053598880767822
1774805541.540246,80000,2.1272425651550293
1774805595.8629055,90000,12.164759635925293
1774805639.4939249,100000,33.88852310180664
1774805688.5755212,110000,15.006343841552734
1774805740.2624378,120000,8.33580207824707
1774805812.744555,130000,32.674869537353516
1774805849.6494486,140000,23.156484603881836
1774805882.6894429,150000,17.367883682250977
1774805925.084422,160000,-5.111083030700684
1774805989.74595,170000,16.602066040039062
1774806023.8902292,180000,22.5548038482666
1774806060.481884,190000,33.08457946777344
1774806096.8471382,200000,32.76628875732422
1774806154.486806,210000,23.87570571899414
1774806184.1162803,220000,41.74794006347656
1774806218.1225202,230000,52.265296936035156
1774806259.2055593,240000,78.72615814208984
1774806331.1163929,250000,60.8921012878418
1774806369.8469126,260000,75.42524719238281
1774806413.398122,270000,65.6325454711914
1774806451.1051357,280000,81.02989196777344
1774806517.3773367,290000,70.01714324951172
1774806553.5744445,300000,124.77594757080078
1774806589.2961686,310000,101.26126098632812
1774806624.2100356,320000,116.7974853515625
1774806689.0856054,330000,126.48275756835938
1774806728.7331123,340000,165.85047912597656
1774806766.373166,350000,168.292236328125
1774806805.6407542,360000,109.1810073852539
1774806847.5638692,370000,192.36285400390625
1774806913.2561717,380000,190.91302490234375
1774806947.4461849,390000,228.66537475585938
1774806977.5350099,400000,134.52752685546875
1774807009.3886046,410000,196.38116455078125
1774807072.454928,420000,218.85780334472656
1774807106.245975,430000,163.72373962402344
1774807142.2954805,440000,221.18394470214844
1774807173.0900252,450000,185.5694122314453
1774807241.2670634,460000,223.580322265625
1774807273.8302174,470000,216.40753173828125
1774807307.050083,480000,262.05572509765625
1774807340.9932315,490000,282.699462890625
1774807402.5384398,500000,255.83590698242188
1774807436.3322942,510000,219.15921020507812
1774807473.7682192,520000,309.7695007324219
1774807508.3988955,530000,268.71038818359375
1774807568.9032767,540000,293.304443359375
1774807599.4227157,550000,276.5050048828125
1774807636.5162003,560000,210.09056091308594
1774807670.1026847,570000,296.6572265625
1774807730.3459377,580000,292.076416015625
1774807763.6352398,590000,329.27398681640625
1774807799.9584515,600000,299.23187255859375
1774807831.1062434,610000,294.32025146484375
1774807864.3153074,620000,248.50738525390625
1774807924.0538228,630000,207.79452514648438
1774807958.2831302,640000,306.3960266113281
1774807991.022579,650000,283.0987548828125
1774808024.5153787,660000,306.46368408203125
1774808086.867983,670000,324.7613830566406
1774808124.6383955,680000,350.34381103515625
1774808155.2259026,690000,282.5703125
1774808191.9103012,700000,339.6443786621094
1774808250.6832414,710000,313.2424011230469
1774808284.4085782,720000,333.016357421875
1774808316.7845001,730000,245.85052490234375
1774808353.4130986,740000,298.22467041015625
1774808413.1826725,750000,310.6737976074219
1774808448.9229193,760000,337.6365051269531
1774808483.50284,770000,357.8494873046875
1774808514.9606953,780000,292.3754577636719
1774808574.9439652,790000,355.6405334472656
1774808609.8765209,800000,427.7784729003906
1774808645.2432945,810000,433.2597351074219
1774808677.9227579,820000,425.65594482421875
1774808741.5528734,830000,304.7545166015625
1774808772.8074913,840000,402.73162841796875
1774808804.9345446,850000,373.22406005859375
1774808834.5181515,860000,365.32830810546875
1774808879.9147174,870000,327.904296875
1774808909.5283563,880000,403.6849060058594
1774808940.2500436,890000,476.4170837402344
1774808970.9697132,900000,318.75439453125
1774809018.7008789,910000,325.4459228515625
1774809047.9451573,920000,410.3777160644531
1774809076.2281945,930000,437.8410949707031
1774809104.884192,940000,360.6790466308594
1774809137.8233135,950000,425.42205810546875
1774809185.6261506,960000,393.7232360839844
1774809214.8461623,970000,459.9015197753906
1774809246.407777,980000,360.5650939941406
1774809273.522858,990000,392.236572265625
1774809321.452599,1000000,389.35870361328125
1774809349.6235607,1010000,431.15325927734375
1774809382.7524745,1020000,353.22589111328125
1774809410.5093563,1030000,396.12872314453125
1774809461.1331637,1040000,417.158447265625
1774809487.4552312,1050000,370.6539306640625
1774809518.7613046,1060000,470.6493225097656
1774809549.4831874,1070000,452.6134033203125
1774809595.537688,1080000,424.0650939941406
1774809627.5138786,1090000,467.0289001464844
1774809656.0062058,1100000,504.2743835449219
1774809687.4630854,1110000,333.6304626464844
1774809735.4531739,1120000,421.1553649902344
1774809763.946594,1130000,393.2648010253906
1774809794.5460324,1140000,407.2650451660156
1774809823.0399623,1150000,530.9603271484375
1774809870.6131148,1160000,404.3479309082031
1774809899.0128524,1170000,455.9624328613281
1774809929.4548335,1180000,393.55511474609375
1774809960.5489457,1190000,392.9351501464844
1774810008.2097971,1200000,413.56787109375
1774810036.0289052,1210000,459.82086181640625
1774810063.8101997,1220000,479.0152587890625
1774810094.156169,1230000,382.748046875
1774810124.090131,1240000,371.677978515625
1774810172.2077696,1250000,397.6818542480469
1774810199.5635664,1260000,412.6676025390625
1774810230.4640522,1270000,429.6810607910156
1774810259.645915,1280000,376.2425537109375
1774810310.8998563,1290000,416.9877014160156
1774810337.1315715,1300000,435.3343505859375
1774810369.9515405,1310000,500.7304382324219
1774810397.9316413,1320000,414.6331481933594
1774810444.3238945,1330000,454.9629821777344
1774810473.7158742,1340000,408.5675964355469
1774810502.6670947,1350000,391.8642578125
1774810535.4142306,1360000,441.6298522949219
1774810580.0119803,1370000,542.6621704101562
1774810610.55787,1380000,419.3159484863281
1774810641.487909,1390000,336.8096008300781
1774810668.0299182,1400000,337.7543029785156
1774810718.423028,1410000,550.471435546875
1774810745.5154128,1420000,543.6503295898438
1774810777.5090356,1430000,418.7906799316406
1774810804.149956,1440000,363.7507629394531
1774810860.9057188,1450000,407.8296203613281
1774810888.82806,1460000,486.8458251953125
1774810918.010792,1470000,431.7808837890625
1774810946.5424523,1480000,418.6275634765625
1774810995.9216893,1490000,409.4204406738281
1774811027.2468994,1500000,352.6475524902344
1774811057.729312,1510000,408.6244201660156
1774811087.8803046,1520000,471.8020935058594
1774811115.2967033,1530000,457.79632568359375
1774811165.4286695,1540000,434.885498046875
1774811192.6273067,1550000,448.0061950683594
1774811222.8750403,1560000,437.0087585449219
1774811254.6057084,1570000,414.8403625488281
1774811300.6354196,1580000,408.18414306640625
1774811332.176365,1590000,358.2803955078125
1774811360.0733557,1600000,356.3699035644531
1774811388.1667912,1610000,439.32958984375
1774811440.8276172,1620000,434.3692321777344
1774811470.065349,1630000,387.6187744140625
1774811494.6821427,1640000,462.5505065917969
1774811526.8376033,1650000,396.4339599609375
1774811573.3901749,1660000,538.5703735351562
1774811604.5084002,1670000,473.9322509765625
1774811634.68999,1680000,433.07611083984375
1774811663.6400146,1690000,413.99151611328125
1774811712.7557707,1700000,511.0770263671875
1774811740.1318545,1710000,533.9300537109375
1774811771.018661,1720000,464.4344787597656
1774811798.5209887,1730000,496.8825378417969
1774811846.992138,1740000,486.1779479980469
1774811875.008989,1750000,579.2703247070312
1774811905.4403908,1760000,501.3388671875
1774811935.1921458,1770000,501.4295349121094
1774811985.4554737,1780000,486.1663818359375
1774812011.4800508,1790000,446.2549743652344
1774812043.5116222,1800000,547.9462890625
1774812073.0649188,1810000,457.38983154296875
1774812102.6121292,1820000,526.7802734375
1774812151.4404073,1830000,398.3331604003906
1774812181.338363,1840000,428.16119384765625
1774812208.0250902,1850000,501.1946105957031
1774812237.202131,1860000,481.16632080078125
1774812286.8369706,1870000,485.8254699707031
1774812314.820485,1880000,385.1388244628906
1774812341.9394147,1890000,452.1050720214844
1774812373.5908127,1900000,521.4042358398438
1774812422.145224,1910000,477.1755065917969
1774812450.7695608,1920000,487.29620361328125
1774812480.9047656,1930000,507.14837646484375
1774812510.1833525,1940000,527.0758666992188
1774812560.1370547,1950000,464.9255676269531
1774812587.3360448,1960000,398.6494445800781
1774812618.6954985,1970000,476.2478332519531
1774812647.480841,1980000,421.42486572265625
1774812696.7077363,1990000,457.966552734375
1774812724.834478,2000000,518.0303344726562
1774812756.6130695,2010000,552.9860229492188
1774812785.787712,2020000,483.8793029785156
1774812834.982974,2030000,445.7947998046875
1774812861.1605713,2040000,468.6229248046875
1774812890.175016,2050000,452.0327453613281
1774812919.39896,2060000,473.1281433105469
1774812970.9309127,2070000,477.5772705078125
1774812999.4410322,2080000,448.79083251953125
1774813028.9805973,2090000,410.1207580566406
1774813058.081378,2100000,556.7777099609375
1774813086.0957062,2110000,435.71282958984375
1774813135.7040837,2120000,542.0794677734375
1774813162.6104858,2130000,524.2787475585938
1774813193.6566646,2140000,585.7996215820312
1774813222.238762,2150000,508.77313232421875
1774813269.945534,2160000,431.33837890625
1774813299.7472293,2170000,560.9884643554688
1774813325.7469916,2180000,487.72760009765625
1774813358.9745076,2190000,512.7561645507812
1774813405.3977623,2200000,505.37945556640625
1774813434.4574864,2210000,531.5253295898438
1774813463.9813025,2220000,483.74444580078125
1774813492.679057,2230000,466.91363525390625
1774813541.7830608,2240000,456.01513671875
1774813570.5503452,2250000,528.9723510742188
1774813597.6300254,2260000,507.648681640625
1774813628.0308754,2270000,577.3717041015625
1774813677.6973069,2280000,509.5694580078125
1774813707.2047005,2290000,504.889404296875
1774813735.9096668,2300000,516.2584228515625
1774813763.6597548,2310000,506.5326232910156
1774813812.80934,2320000,475.975341796875
1774813840.1928656,2330000,445.2104187011719
1774813870.001739,2340000,515.6784057617188
1774813900.1219964,2350000,472.6171569824219
1774813949.831677,2360000,515.0833129882812
1774813978.944279,2370000,569.9588012695312
1774814006.7873752,2380000,499.2841491699219
1774814037.4504943,2390000,486.9133605957031
1774814063.9842918,2400000,458.56719970703125
1774814114.7564602,2410000,510.3351135253906
1774814142.2863755,2420000,456.87591552734375
1774814173.345877,2430000,529.744384765625
1774814201.706021,2440000,549.6023559570312
1774814249.3139474,2450000,525.0303344726562
1774814279.806471,2460000,491.8913269042969
1774814309.7096548,2470000,464.9632873535156
1774814337.8141491,2480000,507.7615966796875
1774814384.3631995,2490000,585.7620239257812
1774814416.1993442,2500000,517.0302734375
1774814448.2642472,2510000,636.2429809570312
1774814477.3122501,2520000,491.12493896484375
1774814525.5118701,2530000,422.1291809082031
1774814554.2298226,2540000,546.3128051757812
1774814583.2163186,2550000,368.6673278808594
1774814614.7332728,2560000,455.1194152832031
1774814661.2012784,2570000,538.9993286132812
1774814691.1801775,2580000,457.3328857421875
1774814719.656762,2590000,530.8339233398438
1774814748.995523,2600000,468.9257507324219
1774814798.91773,2610000,454.9178771972656
1774814828.4418721,2620000,438.2591857910156
1774814855.6452985,2630000,472.68560791015625
1774814886.3534555,2640000,512.4785766601562
1774814935.4355836,2650000,526.6525268554688
1774814962.8600385,2660000,484.1913757324219
1774814994.4002378,2670000,466.27850341796875
1774815022.576807,2680000,428.4731140136719
1774815052.5121422,2690000,499.0948791503906
1774815098.760771,2700000,419.59466552734375
1774815129.4020119,2710000,519.7847900390625
1774815160.1071465,2720000,502.9560241699219
1774815189.337684,2730000,586.0309448242188
1774815236.662542,2740000,539.2418823242188
1774815266.8020942,2750000,499.29168701171875
1774815296.8557398,2760000,532.6813354492188
1774815327.3159127,2770000,516.9254150390625
1774815371.713598,2780000,465.7480773925781
1774815402.0036252,2790000,443.232421875
1774815431.0399725,2800000,435.5037536621094
1774815459.146875,2810000,577.689697265625
1774815510.9959998,2820000,451.1520080566406
1774815541.8901246,2830000,463.3494567871094
1774815572.7664547,2840000,373.5511169433594
1774815601.7006648,2850000,577.6321411132812
1774815649.268889,2860000,548.0074462890625
1774815679.0876195,2870000,609.0206298828125
1774815710.0885844,2880000,422.29461669921875
1774815738.1972377,2890000,536.702392578125
1774815786.9025905,2900000,500.3874206542969
1774815815.6344817,2910000,550.44775390625
1774815844.8484168,2920000,485.6754455566406
1774815874.0775306,2930000,518.2783813476562
1774815921.5221655,2940000,493.2100830078125
1774815951.272706,2950000,538.9415283203125
1774815983.00811,2960000,583.74267578125
1774816009.0743363,2970000,538.6699829101562
1774816058.0323107,2980000,525.1476440429688
1774816089.479997,2990000,547.5057983398438
1774816115.4381845,3000000,526.7754516601562
1774816145.9816108,3010000,549.9830322265625
1774816174.685449,3020000,513.1083984375
1774816226.2955413,3030000,521.4213256835938
1774816253.3271382,3040000,631.61279296875
1774816284.4696763,3050000,571.0542602539062
1774816313.6147487,3060000,489.47320556640625
1774816361.2471547,3070000,532.54345703125
1774816392.2286732,3080000,504.0618896484375
1774816420.7763638,3090000,587.1123046875
1774816449.967905,3100000,548.361083984375
1774816496.5788333,3110000,523.0996704101562
1774816528.2042236,3120000,523.7476196289062
1774816556.6783237,3130000,626.8028564453125
1774816586.0519807,3140000,580.2046508789062
1774816634.4082904,3150000,588.2396850585938
1774816663.8316834,3160000,577.0946044921875
1774816693.0627666,3170000,511.8469543457031
1774816722.6195872,3180000,583.725830078125
1774816772.0444756,3190000,542.789306640625
1774816800.531077,3200000,432.69110107421875
1774816829.9025455,3210000,474.3813171386719
1774816857.422653,3220000,453.58367919921875
1774816906.3101904,3230000,543.9210815429688
1774816936.9144216,3240000,404.1806335449219
1774816965.7929773,3250000,547.128173828125
1774816993.4557679,3260000,505.5910949707031
1774817042.1815984,3270000,522.2532958984375
1774817073.4245884,3280000,556.1481323242188
1774817102.1836176,3290000,633.4712524414062
1774817130.2612178,3300000,597.3642578125
1774817159.5969346,3310000,561.8917846679688
1774817209.8623276,3320000,529.7562255859375
1774817235.5980568,3330000,586.9808349609375
1774817267.4060035,3340000,483.30694580078125
1774817294.401208,3350000,558.8992309570312
1774817343.8644254,3360000,519.9116821289062
1774817374.7013056,3370000,501.2508544921875
1774817405.3093817,3380000,553.6405639648438
1774817431.1587973,3390000,511.0799560546875
1774817482.02379,3400000,631.3165893554688
1774817511.9658997,3410000,633.42333984375
1774817542.2460978,3420000,510.2945251464844
1774817572.5672178,3430000,590.5923461914062
1774817619.529873,3440000,531.91845703125
1774817647.983062,3450000,453.4145202636719
1774817677.436808,3460000,480.5310974121094
1774817704.9126244,3470000,525.9049072265625
1774817753.1976547,3480000,548.5660400390625
1774817786.3281047,3490000,602.4202270507812
1774817814.4576516,3500000,568.5643310546875
1774817843.7912354,3510000,479.4624938964844
1774817892.002339,3520000,544.8096923828125
1774817918.600153,3530000,480.8170166015625
1774817950.7803636,3540000,545.5266723632812
1774817979.309849,3550000,515.6651000976562
1774818031.5432677,3560000,606.8643798828125
1774818061.7774658,3570000,508.2439880371094
1774818087.9115708,3580000,552.7615356445312
1774818118.8248472,3590000,547.7903442382812
1774818147.2095823,3600000,545.3153686523438
1774818196.5810652,3610000,492.3778076171875
1774818225.8840697,3620000,467.44207763671875
1774818255.3562799,3630000,543.7006225585938
1774818285.5484295,3640000,503.0740966796875
1774818333.9441695,3650000,526.4782104492188
1774818362.8736026,3660000,588.703857421875
1774818392.1079154,3670000,481.7864074707031
1774818420.4150164,3680000,536.4658813476562
1774818471.657578,3690000,578.3538818359375
1774818498.2394626,3700000,553.8593139648438
1774818529.6038055,3710000,541.3284912109375
1774818558.273648,3720000,544.2584228515625
1774818605.8736627,3730000,508.8110046386719
1774818634.2024908,3740000,600.7273559570312
1774818665.6426852,3750000,484.5995178222656
1774818692.7985458,3760000,679.9041137695312
1774818741.8088424,3770000,552.038818359375
1774818769.9310603,3780000,595.0963134765625
1774818801.1861145,3790000,480.9615783691406
1774818829.6924086,3800000,565.3037719726562
1774818880.3166916,3810000,604.7913818359375
1774818907.848033,3820000,546.5615844726562
1774818937.051973,3830000,491.9524230957031
1774818968.0702565,3840000,534.3007202148438
1774819016.5922782,3850000,545.4290771484375
1774819046.8125124,3860000,490.57147216796875
1774819074.0943434,3870000,545.146484375
1774819102.5960858,3880000,461.3216552734375
1774819130.78116,3890000,449.41864013671875
1774819180.3555908,3900000,707.925048828125
1774819209.269519,3910000,523.8355712890625
1774819237.5053713,3920000,534.3172607421875
1774819268.2837088,3930000,516.6240844726562
1774819316.0721467,3940000,532.3724365234375
1774819345.8283887,3950000,620.1062622070312
1774819375.3114321,3960000,568.2774047851562
1774819402.4115071,3970000,534.0681762695312
1774819453.3824904,3980000,554.39697265625
1774819481.6953893,3990000,547.4937133789062
