Wall time,Step,Value
1772797577.094528,10000,-25.52667236328125
1772797626.088029,20000,-16.649620056152344
1772797674.287661,30000,-6.864894866943359
1772797724.228702,40000,-10.260640144348145
1772797773.3726823,50000,-6.564844131469727
1772797823.9780755,60000,-7.989047050476074
1772797876.264373,70000,-4.541215896606445
1772797925.9301825,80000,-7.974789142608643
1772797974.8398523,90000,-6.089507102966309
1772798024.4397357,100000,-1.9559705257415771
1772798073.7156403,110000,6.148993492126465
1772798124.1405616,120000,13.515969276428223
1772798174.3376327,130000,21.07553482055664
1772798226.580993,140000,17.51986312866211
1772798276.8940003,150000,32.380882263183594
1772798329.345469,160000,47.33598327636719
1772798380.6352115,170000,14.728092193603516
1772798435.000473,180000,-24.231895446777344
1772798485.2745245,190000,-17.99019432067871
1772798535.7444763,200000,-11.639254570007324
1772798585.5795276,210000,-14.315500259399414
1772798633.9042828,220000,-1.369608759880066
1772798684.1467566,230000,-10.789600372314453
1772798735.7766848,240000,-22.451343536376953
1772798793.780136,250000,-4.601644039154053
1772798843.5095696,260000,1.3471436500549316
1772798893.8275726,270000,-0.9837804436683655
1772798943.9117522,280000,22.7545108795166
1772798992.5033774,290000,19.50039291381836
1772799042.8275213,300000,19.035980224609375
1772799092.3933935,310000,25.302562713623047
1772799141.8705647,320000,29.66638946533203
1772799192.7603168,330000,25.947235107421875
1772799242.5559058,340000,44.52822494506836
1772799291.0636258,350000,19.54811668395996
1772799341.7450933,360000,39.87382507324219
1772799392.7001107,370000,33.17621994018555
1772799443.0956213,380000,29.934171676635742
1772799493.0794199,390000,34.18040084838867
1772799542.4364455,400000,40.572086334228516
1772799593.64927,410000,40.94785690307617
1772799646.067971,420000,41.62417984008789
1772799696.4508822,430000,45.099952697753906
1772799746.6239073,440000,43.98353576660156
1772799799.1216736,450000,40.36857604980469
1772799849.76275,460000,46.36943817138672
1772799900.7729986,470000,19.934850692749023
1772799950.0777402,480000,-11.662532806396484
1772800000.058273,490000,-23.476882934570312
1772800050.1000345,500000,-44.43069076538086
1772800100.222831,510000,-32.485862731933594
1772800149.8636994,520000,-21.237852096557617
1772800199.0446277,530000,-16.34640121459961
1772800251.0137467,540000,-30.30739974975586
1772800306.5736575,550000,-19.50641632080078
1772800359.02715,560000,-14.553695678710938
1772800411.940384,570000,1.4038512706756592
1772800465.3851583,580000,-15.665894508361816
1772800519.9817867,590000,2.403233766555786
1772800574.1985455,600000,-11.636312484741211
1772800627.0561428,610000,-23.66482925415039
1772800679.4359348,620000,-25.181262969970703
1772800731.8694358,630000,-8.76848316192627
1772800784.3607233,640000,-22.61589241027832
1772800836.0755703,650000,-21.610864639282227
1772800887.3138626,660000,-9.194173812866211
1772800934.148434,670000,3.245551347732544
1772800984.6125422,680000,-0.4976908266544342
1772801033.6573198,690000,-7.939838409423828
1772801083.6819081,700000,3.6406466960906982
1772801133.9455626,710000,-7.406604766845703
1772801183.8035808,720000,-4.418943405151367
1772801233.6242812,730000,-11.785865783691406
1772801285.3064868,740000,-5.395592212677002
1772801333.9750118,750000,-2.112987756729126
1772801381.362631,760000,4.927296161651611
1772801431.2737112,770000,21.265567779541016
1772801481.0813453,780000,20.281627655029297
1772801530.6323247,790000,11.725129127502441
1772801580.2576056,800000,10.458757400512695
1772801629.0782883,810000,11.07416820526123
1772801678.7000868,820000,14.398792266845703
1772801728.4191673,830000,10.135746002197266
1772801778.4882517,840000,13.889057159423828
1772801828.1945145,850000,4.2834625244140625
1772801878.183164,860000,17.243741989135742
1772801927.9082112,870000,28.259990692138672
1772801977.5899951,880000,37.179508209228516
1772802031.6864362,890000,18.96143341064453
1772802081.8739982,900000,34.454345703125
1772802132.5325122,910000,18.283491134643555
1772802183.008538,920000,22.510339736938477
1772802232.0338478,930000,26.624130249023438
1772802282.1183946,940000,15.413077354431152
1772802332.0640945,950000,29.37427520751953
1772802382.8655307,960000,25.291580200195312
1772802432.8556376,970000,25.235309600830078
1772802482.9546964,980000,25.113876342773438
1772802532.1407347,990000,31.96269416809082
1772802582.353956,1000000,19.407638549804688
1772802632.8177483,1010000,28.58402442932129
1772802683.964204,1020000,22.961776733398438
1772802736.9127052,1030000,27.842872619628906
1772802790.561541,1040000,22.712905883789062
1772802853.3884718,1050000,16.59868812561035
1772802918.6624303,1060000,2.314908266067505
1772802979.3598404,1070000,13.539411544799805
1772803035.0588045,1080000,16.275798797607422
1772803092.1326501,1090000,32.415985107421875
1772803150.7295544,1100000,17.50551986694336
1772803206.2694535,1110000,27.941869735717773
1772803266.5004969,1120000,19.6823673248291
1772803327.8338933,1130000,-3.7141432762145996
1772803386.4752162,1140000,12.833625793457031
1772803445.9460711,1150000,19.134838104248047
1772803619.9396014,1170000,9.086553573608398
1772803721.5155227,1180000,43.98138427734375
1772803788.579703,1190000,31.74721908569336
1772803864.108229,1200000,41.84339904785156
1772803939.3123283,1210000,21.163312911987305
1772804019.2175896,1220000,2.43888258934021
1772804079.15428,1230000,17.032901763916016
1772804152.453747,1240000,30.45850372314453
1772804212.2485442,1250000,35.124603271484375
1772804270.3086052,1260000,26.07526397705078
1772804327.1919997,1270000,21.87538719177246
1772804383.9859061,1280000,2.542210817337036
1772804441.1682255,1290000,15.235556602478027
1772804499.8656795,1300000,29.72617530822754
1772804556.5545518,1310000,15.114044189453125
1772804612.4796367,1320000,12.987475395202637
1772804668.1690204,1330000,29.398818969726562
1772804724.130584,1340000,17.948999404907227
1772804783.6313093,1350000,17.606775283813477
1772804838.367813,1360000,30.94245719909668
1772804895.065337,1370000,18.70644760131836
1772804949.5305161,1380000,17.64784812927246
1772805002.0532877,1390000,31.974811553955078
1772805053.7879562,1400000,32.82628631591797
1772805108.2996707,1410000,5.9992289543151855
1772805162.9754465,1420000,28.08231544494629
1772805224.0706234,1430000,28.214635848999023
1772805278.9317386,1440000,40.60740661621094
1772805334.4903738,1450000,25.152240753173828
1772805394.1790955,1460000,19.431482315063477
1772805451.9639463,1470000,29.99907875061035
1772805511.6542585,1480000,44.41071319580078
1772805570.671281,1490000,36.789466857910156
1772805637.51414,1500000,34.58872604370117
1772805694.2992449,1510000,45.352142333984375
1772805753.5198133,1520000,44.318702697753906
1772805810.4944754,1530000,28.520824432373047
1772805864.10821,1540000,36.644920349121094
1772805918.9223306,1550000,38.355384826660156
1772805972.713195,1560000,41.10105895996094
1772806023.6168542,1570000,39.307167053222656
1772806079.684009,1580000,49.08300018310547
1772806148.1768587,1590000,26.828174591064453
1772806209.3374054,1600000,45.83669662475586
1772806266.9768267,1610000,44.70631408691406
1772806325.3047462,1620000,42.88492965698242
